,Date,Switzerland,Channel Islands,Unspecified,United Kingdom,France,EIRE,Germany,Norway,Spain,Cyprus,Israel,Italy,Belgium,Netherlands,Singapore
0,11/27/11,0,120.8617097601551,0,12.648740246476638,-229.98455368760509,-576.9337703115721,21.104464371018672,56.05129568702097,926.7254894244303,0,0,64.10022128960041,0,0,100.0
1,11/28/11,0,17.49079173623926,0,28.55439712311085,-287.6712958584943,-701.5645064601947,19.020465811643625,281.59569878912845,1106.7750793089115,0,0,-454.43498250142363,0,0,100.0
2,11/29/11,0,266.1927315284846,0,19.94897929997037,-319.02404546342785,-857.9930823638451,18.114031626425387,151.56763778387733,1364.3709836405374,0,0,-309.4507553087023,0,0,100.0
3,11/30/11,0,-359.65633170739187,0,18.586085993769785,-298.817537325695,-1086.478350195649,20.078319379381036,-241.48422769514679,1018.8095302454611,0,0,-208.52638511535233,0,0,100.0
4,12/1/11,0,107.47495750463679,0,22.666877066213207,-262.92695200682607,-1160.8864388498855,20.43544035090757,-92.53136702176698,939.6537781467531,0,0,-146.10588087651226,0,0,100.0
5,12/2/11,0,786.963476831152,0,53.30967353744798,-277.2567838738274,-1286.7705148640566,19.46990899989433,691.7427031034301,1325.6482431482573,0,0,-344.93775645020787,0,0,100.0
6,12/3/11,0,485.2877700577331,0,15.357015766849411,-269.8865510475234,-1534.269169371595,19.725398093027472,438.1381176484461,1284.0249068566252,0,0,366.12496733042724,0,0,100.0
7,12/4/11,0,259.1618143974758,0,-1.840440139293749,-201.54336397818167,-1428.7431571257143,24.186337975660276,335.6880558560189,276.7393346387455,0,0,-54.701845025401745,0,0,100.0
8,12/5/11,0,131.05974055721202,0,15.215162716623256,-222.18920608125393,-1555.5978440894914,21.447841114845676,511.89154640575896,368.1816160862583,0,0,-520.0890690299684,0,0,100.0
9,12/6/11,0,347.668848368679,0,7.99625038412512,-217.90585820245354,-1703.6987689626178,19.849902168106905,321.9642935480834,548.1204273325068,0,0,-322.7918445795551,0,0,100.0
10,12/7/11,0,-316.71422752676705,0,8.244072148241651,-164.70733033808563,-1913.2143709750762,21.097146095044867,-141.07321373090306,137.20621304445942,0,0,-172.00970838978677,0,0,100.0
11,12/8/11,0,106.6050354110613,0,14.141153026286208,-99.68529175176995,-1958.1361350103352,20.723627900173657,-71.38908868461525,6.123074108245525,0,0,-63.76010225211327,0,0,100.0
12,12/9/11,0,738.3739659230635,0,46.780993528234845,-89.90103888542144,-2044.3588535168747,19.02603736986377,625.4627862340138,354.4779511282765,0,0,-222.26744255736878,0,0,100.0
13,12/10/11,0,386.6065258491104,0,10.975421659849859,-64.49493716133487,-2242.5744423544875,18.560204402849592,277.72291980033424,290.08628714959184,0,0,522.2854112409351,0,0,100.0
