,Date,Italy,Channel Islands,United Kingdom,France,Germany,Portugal,Finland,Netherlands
0,11/27/11,0,0,3.2272333032604066,150.5730449183127,10.0,-716.7315237911278,0,0
1,11/28/11,0,0,21.93036799765008,74.00802012688212,10.0,-35.36018269128124,0,0
2,11/29/11,0,0,2.465855966919806,-258.40437266541824,10.0,-404.53147457464377,0,0
3,11/30/11,0,0,10.147782448501529,125.15917212346434,10.0,-238.08081916507686,0,0
4,12/1/11,0,0,5.578266580918096,106.72158262915659,10.0,-71.93470112281003,0,0
5,12/2/11,0,0,5.466277198008405,275.8891722312312,10.0,-348.6121081737139,0,0
6,12/3/11,0,0,6.682569775830365,393.9296670182597,10.0,-278.48981247532174,0,0
7,12/4/11,0,0,1.561004005387359,321.1032889762254,10.0,-718.7436706156377,0,0
8,12/5/11,0,0,20.088383274910083,265.3128583515924,10.0,-14.076596125379204,0,0
9,12/6/11,0,0,0.44178977954051696,-48.18213813176567,10.0,-362.99738787386303,0,0
10,12/7/11,0,0,7.9397806616801425,351.9293480335935,10.0,-180.00911624586195,0,0
11,12/8/11,0,0,3.1889120319699,347.2125913989629,10.0,-1.5722930073949684,0,0
12,12/9/11,0,0,2.9024464591175274,526.8825144253311,10.0,-270.5907405659515,0,0
13,12/10/11,0,0,3.955187146015263,651.8916069212407,10.0,-197.66610669455736,0,0
